Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),temp (°C)
589,1629405926407,54.25
590,1629405926610,54.25
591,1629405926809,55.25
592,1629405927011,55.0
593,1629405927211,55.75
594,1629405927412,55.5
595,1629405927612,55.75
596,1629405927814,56.0
597,1629405928014,57.0
598,1629405928215,57.0
599,1629405928416,57.25
600,1629405928615,57.5
601,1629405928816,57.75
602,1629405929018,57.5
603,1629405929218,58.5
604,1629405929419,58.75
605,1629405929619,58.5
606,1629405929821,59.0
607,1629405930021,58.75
608,1629405930221,60.0
609,1629405930422,59.5
610,1629405930627,60.0
611,1629405930828,60.75
612,1629405931029,61.25
613,1629405931232,61.0
614,1629405931430,61.5
615,1629405931631,61.75
616,1629405931831,61.5
617,1629405932032,62.75
618,1629405932233,62.5
619,1629405932434,62.5
620,1629405932635,63.25
621,1629405932836,63.5
622,1629405933037,63.5
623,1629405933237,64.0
624,1629405933438,64.25
625,1629405933639,64.5
626,1629405933840,65.0
627,1629405934040,65.75
628,1629405934241,65.0
629,1629405934442,65.75
630,1629405934642,66.0
631,1629405934843,66.0
632,1629405935044,66.25
633,1629405935243,66.75
634,1629405935446,67.0
635,1629405935645,67.75
636,1629405935845,67.5
637,1629405936048,68.25
638,1629405936247,68.0
639,1629405936449,68.75
640,1629405936649,68.75
641,1629405936850,69.0
642,1629405937050,69.75
643,1629405937252,69.75
644,1629405937452,70.0
645,1629405937652,70.5
646,1629405937853,70.25
647,1629405938055,71.0
648,1629405938256,71.0
649,1629405938456,70.75
650,1629405938656,71.75
651,1629405938857,71.75
652,1629405939059,72.75
653,1629405939259,72.5
654,1629405939458,72.75
655,1629405939660,73.5
656,1629405939861,73.25
657,1629405940061,74.0
658,1629405940261,73.75
659,1629405940464,74.5
660,1629405940664,74.5
661,1629405940864,74.75
662,1629405941064,74.75
663,1629405941265,75.25
664,1629405941467,76.25
665,1629405941666,76.0
666,1629405941868,76.5
667,1629405942069,76.75
668,1629405942269,77.0
669,1629405942469,77.5
670,1629405942671,78.0
671,1629405942871,77.75
672,1629405943072,78.0
673,1629405943274,77.75
674,1629405943478,78.5
675,1629405943679,79.25
676,1629405943879,79.5
677,1629405944080,79.5
678,1629405944281,80.0
679,1629405944483,80.0
680,1629405944681,80.25
681,1629405944883,80.25
682,1629405945083,80.75
683,1629405945285,80.75
684,1629405945484,81.5
685,1629405945686,81.5
686,1629405945887,81.75
687,1629405946087,81.5
688,1629405946288,82.25
689,1629405946488,82.5
690,1629405946689,83.0
691,1629405946890,83.5
692,1629405947091,83.25
693,1629405947292,83.25
694,1629405947493,84.0
695,1629405947692,84.5
696,1629405947894,84.25
697,1629405948095,84.75
698,1629405948295,85.0
699,1629405948495,84.75
700,1629405948696,86.0
701,1629405948899,86.0
702,1629405949097,86.25
703,1629405949298,86.75
704,1629405949498,87.0
705,1629405949700,87.0
706,1629405949901,86.75
707,1629405950102,86.75
708,1629405950303,87.75
709,1629405950505,87.5
710,1629405950703,88.0
711,1629405950904,88.0
712,1629405951105,88.75
713,1629405951307,89.25
714,1629405951507,88.75
715,1629405951707,89.75
716,1629405951908,90.0
717,1629405952108,89.75
718,1629405952309,90.5
719,1629405952510,90.5
720,1629405952711,90.5
721,1629405952912,91.0
722,1629405953113,91.0
723,1629405953312,91.75
724,1629405953514,92.0
725,1629405953715,92.0
726,1629405953916,92.25
727,1629405954115,92.5
728,1629405954316,92.5
729,1629405954518,93.25
730,1629405954717,93.0
731,1629405954919,93.5
732,1629405955120,93.5
733,1629405955320,94.0
734,1629405955521,94.0
735,1629405955726,94.25
736,1629405955926,95.0
737,1629405956127,94.75
738,1629405956328,94.75
739,1629405956528,94.75
740,1629405956730,95.5
741,1629405956930,95.5
742,1629405957131,95.5
743,1629405957330,96.5
744,1629405957532,96.75
745,1629405957733,97.0
746,1629405957934,96.5
747,1629405958134,97.5
748,1629405958336,97.5
749,1629405958535,97.5
750,1629405958737,98.0
751,1629405958937,97.75
752,1629405959138,97.75
753,1629405959338,98.75
754,1629405959540,98.75
755,1629405959739,99.0
756,1629405959941,98.75
757,1629405960141,99.5
758,1629405960343,99.75
759,1629405960542,100.0
760,1629405960744,99.75
761,1629405960945,100.25
762,1629405961147,100.5
763,1629405961345,100.75
764,1629405961547,101.25
765,1629405961747,101.0
766,1629405961948,100.75
767,1629405962148,101.5
768,1629405962348,101.75
769,1629405962551,101.5
770,1629405962750,102.0
771,1629405962951,102.0
772,1629405963152,102.5
773,1629405963353,102.5
774,1629405963554,103.0
775,1629405963754,102.75
776,1629405963954,103.5
777,1629405964157,103.75
778,1629405964357,103.75
779,1629405964557,104.25
780,1629405964758,104.25
781,1629405964959,104.75
782,1629405965160,104.5
783,1629405965360,104.5
784,1629405965561,105.25
785,1629405965762,105.0
786,1629405965962,105.5
787,1629405966163,106.25
788,1629405966365,105.75
789,1629405966565,106.25
790,1629405966765,106.0
791,1629405966966,106.75
792,1629405967167,106.25
793,1629405967369,107.0
794,1629405967567,107.25
795,1629405967773,107.5
796,1629405967973,107.75
797,1629405968174,108.0
798,1629405968374,108.0
799,1629405968575,108.0
800,1629405968776,108.0
801,1629405968977,108.25
802,1629405969178,108.75
803,1629405969379,109.0
804,1629405969579,109.25
805,1629405969780,109.25
806,1629405969981,109.5
807,1629405970181,109.5
808,1629405970382,110.25
809,1629405970583,110.25
810,1629405970783,110.0
811,1629405970984,110.75
812,1629405971186,111.0
813,1629405971386,111.25
814,1629405971587,110.75
815,1629405971786,111.5
816,1629405971988,111.25
817,1629405972189,111.75
818,1629405972390,112.25
819,1629405972590,112.5
820,1629405972790,111.5
821,1629405972991,112.25
822,1629405973192,112.75
823,1629405973393,113.25
824,1629405973595,113.5
825,1629405973794,113.25
826,1629405973995,113.75
827,1629405974197,113.0
828,1629405974397,114.0
829,1629405974598,114.0
830,1629405974797,114.5
831,1629405975000,114.25
832,1629405975199,114.75
833,1629405975399,115.25
834,1629405975601,115.0
835,1629405975801,115.5
836,1629405976003,115.25
837,1629405976202,115.5
838,1629405976403,116.25
839,1629405976605,116.25
840,1629405976804,116.5
841,1629405977007,116.75
842,1629405977207,117.0
843,1629405977407,117.0
844,1629405977609,117.0
845,1629405977809,117.25
846,1629405978009,117.75
847,1629405978210,118.25
848,1629405978410,118.0
849,1629405978612,118.5
850,1629405978813,118.5
851,1629405979014,118.75
852,1629405979213,119.0
853,1629405979414,118.5
854,1629405979616,119.5
855,1629405979820,119.5
856,1629405980020,119.75
857,1629405980221,120.25
858,1629405980423,119.75
859,1629405980623,120.0
860,1629405980823,120.25
861,1629405981025,120.25
862,1629405981227,120.5
863,1629405981426,121.5
864,1629405981626,121.25
865,1629405981828,121.25
866,1629405982028,122.0
867,1629405982228,122.0
868,1629405982430,121.5
869,1629405982630,122.5
870,1629405982830,122.0
871,1629405983031,122.75
872,1629405983231,123.25
873,1629405983433,123.25
874,1629405983633,123.5
875,1629405983834,124.0
876,1629405984036,123.75
877,1629405984237,124.0
878,1629405984437,124.5
879,1629405984638,124.5
880,1629405984839,124.5
881,1629405985038,124.75
882,1629405985239,125.0
883,1629405985440,125.25
884,1629405985641,125.75
885,1629405985842,126.0
886,1629405986043,126.0
887,1629405986242,126.5
888,1629405986445,126.25
889,1629405986645,126.5
890,1629405986845,126.5
891,1629405987048,126.75
892,1629405987248,126.75
893,1629405987448,127.5
894,1629405987648,127.5
895,1629405987848,127.75
896,1629405988050,128.0
897,1629405988251,128.25
898,1629405988451,128.5
899,1629405988651,128.75
900,1629405988852,129.25
901,1629405989053,129.25
902,1629405989255,129.5
903,1629405989455,129.0
904,1629405989655,129.75
905,1629405989856,130.0
906,1629405990056,130.0
907,1629405990257,130.5
908,1629405990458,130.75
909,1629405990658,130.25
910,1629405990859,130.75
911,1629405991060,131.0
912,1629405991262,131.0
913,1629405991461,131.75
914,1629405991662,131.5
915,1629405991864,132.25
916,1629405992064,132.25
917,1629405992269,132.0
918,1629405992470,132.5
919,1629405992671,132.75
920,1629405992872,133.0
921,1629405993072,133.25
922,1629405993272,133.75
923,1629405993473,133.75
924,1629405993673,134.0
925,1629405993874,133.75
926,1629405994074,134.0
927,1629405994277,134.75
928,1629405994477,134.75
929,1629405994677,135.0
930,1629405994879,135.0
931,1629405995079,135.5
932,1629405995280,135.75
933,1629405995480,136.25
934,1629405995681,136.25
935,1629405995881,136.5
936,1629405996083,136.5
937,1629405996284,136.5
938,1629405996484,136.5
939,1629405996684,137.0
940,1629405996886,137.5
941,1629405997085,137.75
942,1629405997288,137.25
943,1629405997487,138.5
944,1629405997688,138.25
945,1629405997889,138.5
946,1629405998090,139.25
947,1629405998290,139.0
948,1629405998491,139.25
949,1629405998691,139.75
950,1629405998893,140.0
951,1629405999094,140.25
952,1629405999293,140.25
953,1629405999496,140.25
954,1629405999696,141.0
955,1629405999896,141.5
956,1629406000097,140.5
957,1629406000299,141.75
958,1629406000499,141.75
959,1629406000700,142.0
960,1629406000900,142.25
961,1629406001099,142.5
962,1629406001301,143.0
963,1629406001502,143.25
964,1629406001702,143.25
965,1629406001902,142.5
966,1629406002104,143.75
967,1629406002306,144.0
968,1629406002506,144.0
969,1629406002707,144.25
970,1629406002906,144.25
971,1629406003107,144.5
972,1629406003309,145.25
973,1629406003508,145.5
974,1629406003712,145.5
975,1629406003910,145.75
976,1629406004112,146.25
977,1629406004312,146.0
978,1629406004514,146.25
979,1629406004714,146.75
980,1629406004918,146.75
981,1629406005118,147.0
982,1629406005320,147.0
983,1629406005521,147.5
984,1629406005721,148.0
985,1629406005921,148.25
986,1629406006122,147.75
987,1629406006323,148.25
988,1629406006523,148.75
989,1629406006724,149.0
990,1629406006925,148.75
991,1629406007127,149.5
992,1629406007327,149.75
993,1629406007529,149.75
994,1629406007729,150.25
995,1629406007929,150.5
996,1629406008129,150.75
997,1629406008331,150.5
998,1629406008531,151.0
999,1629406008731,151.25
1000,1629406008933,151.5
1001,1629406009132,151.0
1002,1629406009334,151.25
1003,1629406009535,151.75
1004,1629406009736,151.75
1005,1629406009936,152.0
1006,1629406010136,152.75
1007,1629406010337,153.0
1008,1629406010540,153.25
1009,1629406010740,153.25
1010,1629406010940,153.5
1011,1629406011140,153.5
